cluster_id,obj_or_subj,key_word,argument,dependency,sentence
1,subj,lived,who,nsubj,the boy who lived
4,subj,hold,they,nsubj,"they were the last people you 'd expect to be involved in anything strange or mysterious , because they just did n't hold with such nonsense ."
4,subj,wanted,they,nsubj,"the dursleys had everything they wanted , but they also had a secret , and their greatest fear was that somebody would discover it ."
4,subj,think,they,nsubj,they did n't think they could bear it if anyone found out about the potters .
4,subj,whispering,they,nsubj,they were whispering excitedly together .
6,subj,expect,you,nsubj,"they were the last people you 'd expect to be involved in anything strange or mysterious , because they just did n't hold with such nonsense ."
7,obj,seen,him,dobj,"the dursleys knew that the potters had a small son , too , but they had never even seen him ."
7,obj,wrestled,dudley,dobj,"mr. dursley hummed as he picked out his most boring tie for work , and mrs. dursley gossiped away happily as she wrestled a screaming dudley into his high chair ."
10,obj,blame,her,dobj,"he did n't blame her -- if he 'd had a sister like that ... but all the same , those people in cloaks ..."
10,subj,told,she,nsubj,she told him over dinner all about mrs. next door 's problems with her daughter and how dudley had learned a new word ( `` wo n't ! `` ) .
10,subj,went,she,nsubj,"she threw a sharp , sideways glance at dumbledore here , as though hoping he was going to tell her something , but he did n't , so she went on ."
10,subj,liked,she,nsubj,i have n't blushed so much since madam pomfrey told me she liked my new earmuffs . ''
10,subj,pulled,mcgonagall,nsubj,professor mcgonagall pulled out a lace handkerchief and dabbed at her eyes beneath her spectacles .
10,subj,opened,mcgonagall,nsubj,"professor mcgonagall opened her mouth , changed her mind , swallowed , and then said , `` yes -- yes , you 're right , of course ."
10,subj,eyed,she,nsubj,she eyed his cloak suddenly as though she thought he might be hiding harry underneath it .
10,subj,thought,she,nsubj,she eyed his cloak suddenly as though she thought he might be hiding harry underneath it .
10,subj,rapped,aunt,nsubj,his aunt rapped on the door again .
10,subj,screeched,she,nsubj,she screeched .
10,subj,walking,her,nsubj,harry heard her walking toward the kitchen and then the sound of the frying pan being put on the stove .
10,subj,demanded,she,nsubj,she demanded .
10,subj,snapped,aunt,nsubj,his aunt snapped through the door .
10,subj,said,harry,nsubj,aunt petunia often said that dudley looked like a baby angel -- harry often said that dudley looked like a pig in a wig .
10,subj,said,she,nsubj,"aunt petunia obviously scented danger , too , because she said quickly , `` and we 'll buy you another two presents while we 're out today ."
10,subj,jerked,she,nsubj,she jerked her head in harry 's direction .
10,subj,swallowed,she,nsubj,aunt petunia looked as though she 'd just swallowed a lemon .
10,subj,snarled,she,nsubj,she snarled .
10,subj,cried,she,nsubj,"she cried , flinging her arms around him ."
10,subj,tried,she,nsubj,"another time , aunt petunia had been trying to force him into a revolting old sweater of dudley 's ( brown with orange puff balls ) -- the harder she tried to pull it over his head , the smaller it seemed to become , until finally it might have fitted a hand puppet , but certainly would n't fit harry ."
16,subj,discover,somebody,nsubj,"the dursleys had everything they wanted , but they also had a secret , and their greatest fear was that somebody would discover it ."
17,obj,discover,it,dobj,"the dursleys had everything they wanted , but they also had a secret , and their greatest fear was that somebody would discover it ."
18,obj,bear,it,dobj,they did n't think they could bear it if anyone found out about the potters .
19,subj,found,anyone,nsubj,they did n't think they could bear it if anyone found out about the potters .
22,subj,seen,they,nsubj,"the dursleys knew that the potters had a small son , too , but they had never even seen him ."
26,obj,say,what,dobj,the dursleys shuddered to think what the neighbors would say if the potters arrived in the street .
27,subj,say,neighbors,nsubj,the dursleys shuddered to think what the neighbors would say if the potters arrived in the street .
28,subj,arrived,potters,nsubj,the dursleys shuddered to think what the neighbors would say if the potters arrived in the street .
28,subj,want,they,nsubj,this boy was another good reason for keeping the potters away ; they did n't want dudley mixing with a child like that .
30,subj,knew,dursleys,nsubj,"the dursleys knew that the potters had a small son , too , but they had never even seen him ."
36,subj,happening,things,nsubj,"when mr. and mrs. dursley woke up on the dull , gray tuesday our story starts , there was nothing about the cloudy sky outside to suggest that strange and mysterious things would soon be happening all over the country ."
39,obj,left,house,dobj,"`` little tyke , '' chortled mr. dursley as he left the house ."
39,obj,seen,what,dobj,"for a second , mr. dursley did n't realize what he had seen -- then he jerked his head around to look again ."
39,obj,disturb,him,dobj,"he dashed back across the road , hurried up to his office , snapped at his secretary not to disturb him , seized his telephone , and had almost finished dialing his home number when he changed his mind ."
39,obj,told,him,dobj,she told him over dinner all about mrs. next door 's problems with her daughter and how dudley had learned a new word ( `` wo n't ! `` ) .
39,subj,chortled,dursley,nsubj,"`` little tyke , '' chortled mr. dursley as he left the house ."
39,subj,got,he,nsubj,he got into his car and backed out of number four 's drive .
39,subj,noticed,he,nsubj,it was on the corner of the street that he noticed the first sign of something peculiar -- a cat reading a map .
39,subj,thinking,he,nsubj,what could he have been thinking of ?
39,subj,drove,he,nsubj,as he drove toward town he thought of nothing except a large order of drills he was hoping to get that day .
39,subj,thought,he,nsubj,as he drove toward town he thought of nothing except a large order of drills he was hoping to get that day .
39,subj,sat,he,nsubj,"as he sat in the usual morning traffic jam , he could n't help noticing that there seemed to be a lot of strangely dressed people about ."
39,subj,supposed,he,nsubj,he supposed this was some stupid new fashion .
39,subj,see,he,nsubj,"he did n't see the owls swoop ing past in broad daylight , though people down in the street did ; they pointed and gazed open- mouthed as owl after owl sped overhead ."
39,subj,made,he,nsubj,he made several important telephone calls and shouted a bit more .
39,subj,hugged,he,nsubjpass,he had been hugged by a complete stranger .
39,subj,rattled,he,nsubjpass,he was rattled .
40,obj,tell,me,dobj,"viewers as far apart as kent , yorkshire , and dundee have been phoning in to tell me that instead of the rain i promised yesterday , they 've had a downpour of shooting stars !"
40,obj,ask,me,dobj,"nasty , common name , if you ask me . ''"
40,subj,seem,he,nsubj,he did n't seem at all upset at being almost knocked to the ground .
40,subj,said,he,nsubj,"on the contrary , his face split into a wide smile and he said in a squeaky voice that made passersby stare , `` do n't be sorry , my dear sir , for nothing could upset me today !"
40,subj,grin,himself,nsubj,the newscaster allowed himself a grin .
41,subj,left,he,nsubj,"`` little tyke , '' chortled mr. dursley as he left the house ."
44,obj,reading,map,dobj,it was on the corner of the street that he noticed the first sign of something peculiar -- a cat reading a map .
47,obj,flooded,him,dobj,fear flooded him .
47,obj,pull,himself,dobj,"trying to pull himself together , he let himself into the house ."
47,obj,let,himself,dobj,"trying to pull himself together , he let himself into the house ."
47,obj,tell,her,dobj,mr. dursley wondered whether he dared tell her he 'd heard the name `` potter . ''
47,obj,swung,himself,dobj,"wiping his streaming eyes on his jacket sleeve , hagrid swung himself onto the motorcycle and kicked the engine into life ; with a roar it rose into the air and off into the night ."
47,obj,took,outer,dobj,on the corner he stopped and took out the silver put-outer .
47,subj,blinked,dursley,nsubj,mr. dursley blinked and stared at the cat .
47,subj,stared,it,nsubj,it stared back .
47,subj,drummed,he,nsubj,he drummed his fingers on the steering wheel and his eyes fell on a huddle of these weirdos standing quite close by .
47,subj,yelled,he,nsubj,he yelled at five different people .
47,subj,forgotten,he,nsubj,he 'd forgotten all about the people in cloaks until he passed a group of them next to the baker 's .
47,subj,passed,he,nsubj,he 'd forgotten all about the people in cloaks until he passed a group of them next to the baker 's .
47,subj,eyed,he,nsubj,he eyed them angrily as he passed .
47,subj,passed,he,nsubj,he eyed them angrily as he passed .
47,subj,know,he,nsubj,"he did n't know why , but they made him uneasy ."
47,subj,uneasy,him,nsubj,"he did n't know why , but they made him uneasy ."
47,subj,see,he,nsubj,"this bunch were whispering excitedly , too , and he could n't see a single collecting tin ."
47,subj,caught,he,nsubj,"it was on his way back past them , clutching a large doughnut in a bag , that he caught a few words of what they were saying ."
47,subj,looked,he,nsubj,"he looked back at the whisperers as if he wanted to say something to them , but thought better of it ."
47,subj,dashed,he,nsubj,"he dashed back across the road , hurried up to his office , snapped at his secretary not to disturb him , seized his telephone , and had almost finished dialing his home number when he changed his mind ."
47,subj,changed,he,nsubj,"he dashed back across the road , hurried up to his office , snapped at his secretary not to disturb him , seized his telephone , and had almost finished dialing his home number when he changed his mind ."
47,subj,put,he,nsubj,"he put the receiver back down and stroked his mustache , thinking ... no , he was being stupid ."
47,subj,seen,he,nsubj,he 'd never even seen the boy .
47,subj,blame,he,nsubj,"he did n't blame her -- if he 'd had a sister like that ... but all the same , those people in cloaks ..."
47,subj,had,he,nsubj,"he did n't blame her -- if he 'd had a sister like that ... but all the same , those people in cloaks ..."
47,subj,found,he,nsubj,"he found it a lot harder to concentrate on drills that afternoon and when he left the building at five o'clock , he was still so worried that he walked straight into someone just outside the door ."
47,subj,left,he,nsubj,"he found it a lot harder to concentrate on drills that afternoon and when he left the building at five o'clock , he was still so worried that he walked straight into someone just outside the door ."
47,subj,thought,he,nsubj,"he also thought he had been called a muggle , whatever that was ."
47,subj,hurried,he,nsubj,"he hurried to his car and set off for home , hoping he was imagining things , which he had never hoped before , because he did n't approve of imagination ."
47,subj,imagining,he,nsubj,"he hurried to his car and set off for home , hoping he was imagining things , which he had never hoped before , because he did n't approve of imagination ."
47,subj,pulled,he,nsubj,"as he pulled into the driveway of number four , the first thing he saw -- and it did n't improve his mood -- was the tabby cat he 'd spotted that morning ."
47,subj,spotted,he,nsubj,"as he pulled into the driveway of number four , the first thing he saw -- and it did n't improve his mood -- was the tabby cat he 'd spotted that morning ."
47,subj,move,cat,nsubj,the cat did n't move .
47,subj,let,he,nsubj,"trying to pull himself together , he let himself into the house ."
47,subj,went,he,nsubj,"when dudley had been put to bed , he went into the living room in time to catch the last report on the evening news :"
47,subj,cleared,he,nsubj,he cleared his throat nervously .
47,subj,expected,he,nsubj,"as he had expected , mrs. dursley looked shocked and angry ."
47,subj,decided,he,nsubj,he decided he did n't dare .
47,subj,said,he,nsubj,"instead he said , as casually as he could , `` their son -- he 'd be about dudley 's age now , would n't he ? ''"
47,subj,said,dursley,nsubj,"`` oh , yes , '' said mr. dursley , his heart sinking horribly ."
47,subj,imagining,he,nsubj,was he imagining things ?
47,subj,think,he,nsubj,"if it did ... if it got out that they were related to a pair of -- well , he did n't think he could bear it ."
47,subj,fell,he,nsubj,"his last , comforting thought before he fell asleep was that even if the potters were involved , there was no reason for them to come near him and mrs. dursley ."
47,subj,thought,he,nsubj,the potters knew very well what he and petunia thought about them and their kind ... .
47,subj,see,he,nsubj,he could n't see how he and petunia could get mixed up in anything that might be going on -- he yawned and turned over -- it could n't affect them ... .
47,subj,chuckled,he,nsubj,"he chuckled and muttered , `` i should have known . ''"
47,subj,seemed,it,nsubj,it seemed to be a silver cigarette lighter .
47,subj,clicked,he,nsubj,"twelve times he clicked the put-outer , until the only lights left on the whole street were two tiny pinpricks in the distance , which were the eyes of the cat watching him ."
47,subj,look,he,nsubj,"he did n't look at it , but after a moment he spoke to it ."
47,subj,spoke,he,nsubj,"he did n't look at it , but after a moment he spoke to it ."
47,subj,turned,he,nsubj,"he turned to smile at the tabby , but it had gone ."
47,subj,sniffed,mcgonagall,nsubj,professor mcgonagall sniffed angrily .
47,subj,unsticking,who,nsubj,"professor mcgonagall flinched , but dumbledore , who was unsticking two lemon drops , seemed not to notice ."
47,subj,shot,mcgonagall,nsubj,"professor mcgonagall shot a sharp look at dumbledore and said , `` the owls are nothing next to the rumors that are flying around ."
47,subj,disappeared,he,nsubjpass,about why he 's disappeared ?
47,subj,reached,mcgonagall,nsubj,"it seemed that professor mcgonagall had reached the point she was most anxious to discuss , the real reason she had been waiting on a cold , hard wall all day , for neither as a cat nor as a woman had she fixed dumbledore with such a piercing stare as she did now ."
47,subj,went,he,nsubj,he went to find the potters .
47,subj,gasped,mcgonagall,nsubj,professor mcgonagall gasped .
47,subj,could,he,nsubj,but -- he could n't .
47,subj,kill,he,nsubj,he could n't kill that little boy .
47,subj,put,he,nsubj,"it must have made sense to dumbledore , though , because he put it back in his pocket and said , `` hagrid 's late ."
47,subj,hiding,he,nsubj,she eyed his cloak suddenly as though she thought he might be hiding harry underneath it .
47,subj,looked,he,nsubj,"he looked simply too big to be allowed , and so wild - long tangles of bushy black hair and beard hid most of his face , he had hands the size of trash can lids , and his feet in their leather boots were like baby dolphins ."
47,subj,laid,he,nsubj,"he laid harry gently on the doorstep , took a letter out of his cloak , tucked it inside harry 's blankets , and then came back to the other two ."
47,subj,stopped,he,nsubj,on the corner he stopped and took out the silver put-outer .
47,subj,clicked,he,nsubj,"he clicked it once , and twelve balls of light sped back to their street lamps so that privet drive glowed suddenly orange and he could make out a tabby cat slinking around the corner at the other end of the street ."
47,subj,make,he,nsubj,"he clicked it once , and twelve balls of light sped back to their street lamps so that privet drive glowed suddenly orange and he could make out a tabby cat slinking around the corner at the other end of the street ."
47,subj,see,he,nsubj,he could just see the bundle of blankets on the step of number four .
47,subj,turned,he,nsubj,"he turned on his heel and with a swish of his cloak , he was gone ."
47,subj,slept,he,nsubj,"one small hand closed on the letter beside him and he slept on , not knowing he was special , not knowing he was famous , not knowing he would be woken in a few hours ' time by mrs. dursley 's scream as she opened the front door to put out the milk bottles , nor that he would spend the next few weeks being prodded and pinched by his cousin dudley ..."
47,subj,slept,he,nsubj,"harry was used to spiders , because the cupboard under the stairs was full of them , and that was where he slept ."
47,subj,wanted,he,nsubj,"it looked as though dudley had gotten the new computer he wanted , not to mention the second television and the racing bike ."
47,subj,catch,he,nsubj,"dudley 's favorite punching bag was harry , but he could n't often catch him ."
47,subj,looked,he,nsubj,"he looked even smaller and skinnier than he really was because all he had to wear were old clothes of dudley 's , and dudley was about four times bigger than he was ."
47,subj,gotten,he,nsubj,"he had had it as long as he could remember , and the first question he could ever remember asking his aunt petunia was how he had gotten it ."
49,subj,reading,it,nsubj,"it was now reading the sign that said privet drive -- no , looking at the sign ; cats could n't read maps or signs ."
57,subj,gone,he,nsubj,"i suppose he really has gone , dumbledore ? ''"
58,subj,struck,it,nsubj,"but then it struck mr. dursley that this was probably some silly stunt -- these people were obviously collecting for something ... yes , that would be it ."
59,subj,pointed,they,nsubj,"he did n't see the owls swoop ing past in broad daylight , though people down in the street did ; they pointed and gazed open- mouthed as owl after owl sped overhead ."
59,subj,made,they,nsubj,"he did n't know why , but they made him uneasy ."
62,subj,harder,it,nsubj,"if he had n't , he might have found it harder to concentrate on drills that morning ."
66,obj,buy,bun,dobj,"he was in a very good mood until lunchtime , when he thought he 'd stretch his legs and walk across the road to buy himself a bun from the bakery ."
67,obj,eyed,them,dobj,he eyed them angrily as he passed .
67,subj,saying,they,nsubj,"it was on his way back past them , clutching a large doughnut in a bag , that he caught a few words of what they were saying ."
67,subj,pretended,they,nsubj,"after all , they normally pretended she did n't have a sister ."
67,subj,come,them,nsubj,"his last , comforting thought before he fell asleep was that even if the potters were involved , there was no reason for them to come near him and mrs. dursley ."
68,obj,passed,group,dobj,he 'd forgotten all about the people in cloaks until he passed a group of them next to the baker 's .
70,obj,saying,what,dobj,"it was on his way back past them , clutching a large doughnut in a bag , that he caught a few words of what they were saying ."
79,obj,seized,telephone,dobj,"he dashed back across the road , hurried up to his office , snapped at his secretary not to disturb him , seized his telephone , and had almost finished dialing his home number when he changed his mind ."
80,obj,put,receiver,dobj,"he put the receiver back down and stroked his mustache , thinking ... no , he was being stupid ."
82,obj,seen,boy,dobj,he 'd never even seen the boy .
82,subj,called,nephew,nsubjpass,"come to think of it , he was n't even sure his nephew was called harry ."
82,subj,hugged,man,nsubj,and the old man hugged mr. dursley around the middle and walked off .
85,obj,had,sister,dobj,"he did n't blame her -- if he 'd had a sister like that ... but all the same , those people in cloaks ..."
87,obj,found,it,dobj,"he found it a lot harder to concentrate on drills that afternoon and when he left the building at five o'clock , he was still so worried that he walked straight into someone just outside the door ."
88,obj,left,building,dobj,"he found it a lot harder to concentrate on drills that afternoon and when he left the building at five o'clock , he was still so worried that he walked straight into someone just outside the door ."
92,subj,improve,it,nsubj,"as he pulled into the driveway of number four , the first thing he saw -- and it did n't improve his mood -- was the tabby cat he 'd spotted that morning ."
93,subj,sitting,it,nsubj,it was now sitting on his garden wall .
97,subj,gave,it,nsubj,it just gave him a stern look .
101,subj,hunt,owls,nsubj,"although owls normally hunt at night and are hardly ever seen in daylight , there have been hundreds of sightings of these birds flying in every direction since sunrise ."
108,subj,celebrating,people,nsubj,"perhaps people have been celebrating bonfire night early -- it 's not until next week , folks !"
111,obj,shooting,stars,dobj,shooting stars all over britain ?
121,subj,left,he,nsubj,they 're the only family he has left now . ''
123,subj,ask,you,nsubj,"nasty , common name , if you ask me . ''"
124,subj,say,he,nsubj,he did n't say another word on the subject as they went upstairs to bed .
124,subj,staring,it,nsubj,it was staring down privet drive as though it were waiting for something .
125,obj,affect,them,dobj,he could n't see how he and petunia could get mixed up in anything that might be going on -- he yawned and turned over -- it could n't affect them ... .
125,subj,went,they,nsubj,he did n't say another word on the subject as they went upstairs to bed .
125,subj,related,they,nsubjpass,"if it did ... if it got out that they were related to a pair of -- well , he did n't think he could bear it ."
125,subj,go,we,nsubj,we may as well go and join the celebrations . ''
132,obj,bear,it,dobj,"if it did ... if it got out that they were related to a pair of -- well , he did n't think he could bear it ."
133,subj,got,dursleys,nsubj,the dursleys got into bed .
136,subj,knew,potters,nsubj,the potters knew very well what he and petunia thought about them and their kind ... .
137,obj,thought,what,dobj,the potters knew very well what he and petunia thought about them and their kind ... .
138,subj,affect,it,nsubj,he could n't see how he and petunia could get mixed up in anything that might be going on -- he yawned and turned over -- it could n't affect them ... .
139,subj,sitting,it,nsubj,"it was sitting as still as a statue , its eyes fixed unblinkingly on the far corner of privet drive ."
