cluster_id,obj_or_subj,key_word,argument,dependency,sentence
2,obj,passed,shops,dobj,"they passed book shops and music stores , hamburger restaurants and cinemas , but nowhere that looked as if it could sell you a magic wand ."
3,obj,climbed,escalator,dobj,"`` i do n't know how the muggles manage without magic , '' he said as they climbed a broken-down escalator that led up to a bustling road lined with shops ."
3,subj,led,that,nsubj,"`` i do n't know how the muggles manage without magic , '' he said as they climbed a broken-down escalator that led up to a bustling road lined with shops ."
5,subj,bring,students,nsubj,students may also bring an owl or a cat or a toad
13,subj,require,students,nsubj,first-year students will require :
14,obj,took,seats,dobj,hagrid took up two seats and sat knitting what looked like a canary-yellow circus tent .
14,subj,took,hagrid,nsubj,hagrid took up two seats and sat knitting what looked like a canary-yellow circus tent .
16,obj,reached,station,dobj,they had reached the station .
18,obj,clambered,steps,dobj,"hagrid folded up his newspaper , and they clambered up the stone steps onto the street ."
27,subj,hired,vernon,nsubj,"the boat uncle vernon had hired was still there , with a lot of water in the bottom after the storm ."
28,subj,gleamed,sea,nsubj,the sky was quite clear now and the sea gleamed in the sunlight .
35,subj,buy,an,nsubj,"`` best be off , harry , lots ter do today , got ta get up ter london an ' buy all yer stuff fer school . ''"
37,obj,pulled,handful,dobj,"hagrid 's coat seemed to be made of nothing but pockets -- bunches of keys , slug pellets , balls of string , peppermint humbugs , teabags ... finally , harry pulled out a handful of strange-looking coins ."
39,subj,wake,who,nsubj,"the owl swooped in and dropped the newspaper on top of hagrid , who did n't wake up ."
39,subj,beaming,hagrid,nsubj,hagrid was beaming .
43,obj,ter,anyone,dobj,"`` be grateful if yeh did n't mention that ter anyone at hogwarts , '' he said ."
47,obj,ter,school,dobj,he 's off ter the finest school of witchcraft and wizardry in the world .
50,obj,defeated,sorcerer,dobj,"if he 'd once defeated the greatest sorcerer in the world , how come dudley had always been able to kick him around like a football ?"
51,obj,ask,hundreds,dobj,"harry , meanwhile , still had questions to ask , hundreds of them ."
52,subj,said,hagrid,nsubj,"`` that 's better , '' said hagrid , breathing heavily and sitting back down on the sofa , which this time sagged right down to the floor ."
58,subj,watching,hagrid,nsubj,hagrid was watching him sadly .
58,subj,jumped,harry,nsubj,harry jumped ; he had almost forgotten that the dursleys were there .
58,subj,forgotten,he,nsubj,harry jumped ; he had almost forgotten that the dursleys were there .
59,subj,lived,one,nsubj,"no one ever lived after he decided ter kill 'em , no one except you , an ' he 'd killed some o ' the best witches an ' wizards of the age -- the mckinnons , the bones , the prewetts -- an ' you was only a baby , an ' you lived . ''"
67,subj,killed,he,nsubj,"'course , some stood up to him -- an ' he killed 'em ."
69,subj,went,who,nsubj,"see , there was this wizard who went ... bad ."
69,subj,started,this,nsubj,"anyway , this -- this wizard , about twenty years ago now , started lookin ' fer followers ."
69,subj,started,wizard,nsubj,"anyway , this -- this wizard , about twenty years ago now , started lookin ' fer followers ."
69,subj,born,he,nsubjpass,his name 's been down ever since he was born .
69,subj,know,he,nsubj,seven years there and he wo n't know himself .
71,obj,having,witch,dobj,"but for my mother and father , oh no , it was lily this and lily that , they were proud of having a witch in the family ! ''"
78,subj,said,hagrid,nsubj,"`` a muggle , '' said hagrid , `` it 's what we call nonmagic folk like thern ."
83,obj,knew,mum,dobj,"`` but it 's that sad -- knew yer mum an ' dad , an ' nicer people yeh could n't find -- anyway ... ''"
84,subj,said,hagrid,nsubj,"`` a wizard , o ' course , '' said hagrid , sitting back down on the sofa , which groaned and sank even lower , `` an ' a thumpin ' good'un , i 'd say , once yeh 've been trained up a bit ."
84,subj,groaned,which,nsubj,"`` a wizard , o ' course , '' said hagrid , sitting back down on the sofa , which groaned and sank even lower , `` an ' a thumpin ' good'un , i 'd say , once yeh 've been trained up a bit ."
86,subj,quailed,man,nsubj,"a braver man than vernon dursley would have quailed under the furious look hagrid now gave him ; when hagrid spoke , his every syllable trembled with rage ."
87,obj,left,him,dobj,never told him what was in the letter dumbledore left fer him ?
90,obj,fill,hut,dobj,in his anger he seemed to fill the whole hut .
91,subj,learned,parents,nsubj,did yeh never wonder where yet parents learned it all ? ''
91,subj,reminded,parents,nsubjpass,parents are reminded that first years are not allowed their own broomsticks
92,subj,shrank,who,nsubj,"barked hagrid , turning to stare at the dursleys , who shrank back into the shadows ."
95,obj,touch,anything,dobj,"uncle vernon said sharply , `` do n't touch anything he gives you , dudley . ''"
95,obj,told,you,dobj,`` have n't i told you he 's not going ? ''
95,obj,know,himself,dobj,seven years there and he wo n't know himself .
95,subj,got,he,nsubj,"now he came to think about it ... every odd thing that had ever made his aunt and uncle furious with him had happened when he , harry , had been upset or angry ... chased by dudley 's gang , he had somehow found himself out of their reach ... dreading going to school with that ridiculous haircut , he 'd managed to make it grow back ... and the very last time dudley had hit him , had n't he got his revenge , without even realizing he was doing it ?"
95,subj,doing,he,nsubj,"now he came to think about it ... every odd thing that had ever made his aunt and uncle furious with him had happened when he , harry , had been upset or angry ... chased by dudley 's gang , he had somehow found himself out of their reach ... dreading going to school with that ridiculous haircut , he 'd managed to make it grow back ... and the very last time dudley had hit him , had n't he got his revenge , without even realizing he was doing it ?"
95,subj,flew,he,nsubj,then he flew off through the open window .
96,subj,said,vernon,nsubj,"uncle vernon said sharply , `` do n't touch anything he gives you , dudley . ''"
96,subj,looked,hagrid,nsubj,hagrid looked shocked .
98,obj,filled,hut,dobj,it filled the whole damp hut with flickering light and harry felt the warmth wash over him as though he 'd sunk into a hot bath .
100,obj,threw,it,dobj,"`` ah , shut up , dursley , yeh great prune , '' said the giant ; he reached over the back of the sofa , jerked the gun out of uncle vernon 's hands , bent it into a knot as easily as if it had been made of rubber , and threw it into a corner of the room ."
100,subj,made,it,nsubjpass,"`` ah , shut up , dursley , yeh great prune , '' said the giant ; he reached over the back of the sofa , jerked the gun out of uncle vernon 's hands , bent it into a knot as easily as if it had been made of rubber , and threw it into a corner of the room ."
102,subj,look,yeh,nsubj,"`` yeh look a lot like yet dad , but yeh 've got yet mom 's eyes . ''"
104,subj,sat,dudley,nsubj,he strode over to the sofa where dudley sat frozen with fear .
108,obj,given,harry,pobj,given harry his letter .
108,obj,given,letter,dobj,given harry his letter .
108,obj,taking,him,dobj,taking him to buy his things tomorrow .
108,subj,moved,vernon,nsubj,"said hagrid , but at that moment , uncle vernon , still ashen-faced but looking very angry , moved into the firelight ."
110,subj,crumbling,rock,nsubj,was the rock crumbling into the sea ?
111,subj,heard,sea,nsubjpass,only the sea and the whistling wind could be heard .
113,subj,remember,dursleys,nsubj,"he lay and watched his birthday tick nearer , wondering if the dursleys would remember at all , wondering where the letter writer was now ."
114,subj,dangling,which,nsubj,"the lighted dial of dudley 's watch , which was dangling over the edge of the sofa on his fat wrist , told harry he 'd be eleven in ten minutes ' time ."
114,subj,told,dial,nsubj,"the lighted dial of dudley 's watch , which was dangling over the edge of the sofa on his fat wrist , told harry he 'd be eleven in ten minutes ' time ."
115,subj,started,that,nsubj,dudley 's snores were drowned by the low rolls of thunder that started near midnight .
116,obj,made,bed,dobj,aunt petunia found a few moldy blankets in the second room and made up a bed for dudley on the moth-eaten sofa .
117,obj,splattered,walls,dobj,spray from the high waves splattered the walls of the hut and a fierce wind rattled the filthy windows .
119,obj,led,way,dobj,"after what seemed like hours they reached the rock , where uncle vernon , slipping and sliding , led the way to the broken-down house ."
120,obj,reached,rock,dobj,"after what seemed like hours they reached the rock , where uncle vernon , slipping and sliding , led the way to the broken-down house ."
120,subj,led,vernon,nsubj,"after what seemed like hours they reached the rock , where uncle vernon , slipping and sliding , led the way to the broken-down house ."
121,obj,stop,us,dobj,"nah , first stop fer us is gringotts ."
121,obj,led,them,dobj,"doris crockford shook harry 's hand one last time , and hagrid led them through the bar and out into a small , walled courtyard , where there was nothing but a trash can and a few weeds ."
121,obj,bowed,them,dobj,a pair of goblins bowed them through the silver doors and they were in a vast marble hall .
121,subj,settled,they,nsubj,"they settled down in the boat , harry still staring at hagrid , trying to imagine him flying ."
121,subj,sped,they,nsubj,"hagrid pulled out the pink umbrella again , tapped it twice on the side of the boat , and they sped off toward land ."
121,subj,clambered,they,nsubj,"hagrid folded up his newspaper , and they clambered up the stone steps onto the street ."
121,subj,walked,they,nsubj,passersby stared a lot at hagrid as they walked through the little town to the station .
121,subj,reached,they,nsubj,they had reached the station .
121,subj,walked,they,nsubj,the low buzz of chatter stopped when they walked in .
121,subj,stepped,they,nsubj,they stepped through the archway .
121,subj,walked,they,nsubj,"he turned his head in every direction as they walked up the street , trying to look at everything at once : the shops , the things outside them , the people doing their shopping ."
121,subj,reached,they,nsubj,they had reached a snowy white building that towered over the other little shops .
121,subj,walked,they,nsubj,he bowed as they walked inside .
121,subj,facing,they,nsubj,"now they were facing a second pair of doors , silver this time , with words engraved upon them :"
125,subj,beat,drops,nsubj,great drops beat on the roof of the car .
126,subj,parked,vernon,nsubj,"uncle vernon had parked at the coast , locked them all inside the car , and disappeared ."
132,obj,shared,room,dobj,"dudley and harry shared a room with twin beds and damp , musty sheets ."
134,obj,blowing,alien,dobj,"he was hungry , he 'd missed five television programs he 'd wanted to see , and he 'd never gone so long without blowing up an alien on his computer ."
137,subj,dared,one,nsubj,he looked so dangerous with half his mustache missing that no one dared argue .
138,subj,streaming,letters,nsubj,"they could hear the letters still streaming into the room , bouncing off the walls and floor ."
140,obj,handed,petunia,dobj,"twenty-four letters to harry found their way into the house , rolled up and hidden inside each of the two dozen eggs that their very confused milkman had handed aunt petunia through the living room window ."
141,subj,pushed,they,nsubjpass,"as they could n't go through the mail slot they had been pushed under the door , slotted through the sides , and a few even forced through the small window in the downstairs bathroom ."
141,subj,forced,few,nsubj,"as they could n't go through the mail slot they had been pushed under the door , slotted through the sides , and a few even forced through the small window in the downstairs bathroom ."
147,obj,round,room,dobj,harry walked round and round his new room .
148,subj,mean,i,nsubj,"`` go to your cupboard -- i mean , your bedroom , '' he wheezed at harry ."
151,obj,opened,letter,dobj,harry was thinking about this time yesterday and bitterly wishing he 'd opened the letter in the hall .
153,obj,kicked,mother,dobj,"he 'd screamed , whacked his father with his smelting stick , been sick on purpose , kicked his mother , and thrown his tortoise through the greenhouse roof , and he still did n't have his room back ."
154,obj,need,room,dobj,i need that room ... make him get out ... . ''
158,obj,held,parrot,dobj,"the month-old video camera was lying on top of a small , working tank dudley had once driven over the next door neighbor 's dog ; in the corner was dudley 's first-ever television set , which he 'd put his foot through when his favorite program had been canceled ; there was a large birdcage , which had once held a parrot that dudley had swapped at school for a real air rifle , which was up on a shelf with the end all bent because dudley had sat on it ."
158,obj,swapped,that,dobj,"the month-old video camera was lying on top of a small , working tank dudley had once driven over the next door neighbor 's dog ; in the corner was dudley 's first-ever television set , which he 'd put his foot through when his favorite program had been canceled ; there was a large birdcage , which had once held a parrot that dudley had swapped at school for a real air rifle , which was up on a shelf with the end all bent because dudley had sat on it ."
158,subj,held,which,nsubj,"the month-old video camera was lying on top of a small , working tank dudley had once driven over the next door neighbor 's dog ; in the corner was dudley 's first-ever television set , which he 'd put his foot through when his favorite program had been canceled ; there was a large birdcage , which had once held a parrot that dudley had swapped at school for a real air rifle , which was up on a shelf with the end all bent because dudley had sat on it ."
158,subj,swapped,dudley,nsubj,"the month-old video camera was lying on top of a small , working tank dudley had once driven over the next door neighbor 's dog ; in the corner was dudley 's first-ever television set , which he 'd put his foot through when his favorite program had been canceled ; there was a large birdcage , which had once held a parrot that dudley had swapped at school for a real air rifle , which was up on a shelf with the end all bent because dudley had sat on it ."
159,obj,put,foot,dobj,"the month-old video camera was lying on top of a small , working tank dudley had once driven over the next door neighbor 's dog ; in the corner was dudley 's first-ever television set , which he 'd put his foot through when his favorite program had been canceled ; there was a large birdcage , which had once held a parrot that dudley had swapped at school for a real air rifle , which was up on a shelf with the end all bent because dudley had sat on it ."
159,subj,put,he,nsubj,"the month-old video camera was lying on top of a small , working tank dudley had once driven over the next door neighbor 's dog ; in the corner was dudley 's first-ever television set , which he 'd put his foot through when his favorite program had been canceled ; there was a large birdcage , which had once held a parrot that dudley had swapped at school for a real air rifle , which was up on a shelf with the end all bent because dudley had sat on it ."
164,subj,kept,dudley,nsubj,"the dursleys ' house had four bedrooms : one for uncle vernon and aunt petunia , one for visitors ( usually uncle vernon 's sister , marge ) , one where dudley slept , and one where dudley kept all the toys and things that would n't fit into his first bedroom ."
165,subj,slept,dudley,nsubj,"the dursleys ' house had four bedrooms : one for uncle vernon and aunt petunia , one for visitors ( usually uncle vernon 's sister , marge ) , one where dudley slept , and one where dudley kept all the toys and things that would n't fit into his first bedroom ."
169,obj,take,stuff,dobj,"`` take this stuff upstairs , now . ''"
171,subj,fell,couple,nsubj,"yelled uncle vernon , and a couple of spiders fell from the ceiling ."
177,obj,bearing,coat,dobj,"turning the envelope over , his hand trembling , harry saw a purple wax seal bearing a coat of arms ; a lion , an eagle , a badger , and a snake surrounding a large letter h ."
177,subj,bearing,seal,nsubj,"turning the envelope over , his hand trembling , harry saw a purple wax seal bearing a coat of arms ; a lion , an eagle , a badger , and a snake surrounding a large letter h ."
183,subj,vacationing,who,nsubj,"three things lay on the doormat : a postcard from uncle vernon 's sister marge , who was vacationing on the isle of wight , a brown envelope that looked like a bill , and -- a letter for harry ."
184,subj,lay,things,nsubj,"three things lay on the doormat : a postcard from uncle vernon 's sister marge , who was vacationing on the isle of wight , a brown envelope that looked like a bill , and -- a letter for harry ."
188,subj,wore,boys,nsubj,"smeltings ' boys wore maroon tailcoats , orange knickerbockers , and flat straw hats called boaters ."
193,subj,had,toilet,nsubj,`` the poor toilet 's never had anything as horrible as your head down it -- it might be sick . ''
194,subj,stuff,they,nsubj,"`` they stuff people 's heads down the toilet the first day at stonewall , '' he told harry ."
201,obj,visited,house,dobj,"harry was glad school was over , but there was no escaping dudley 's gang , who visited the house every single day ."
201,subj,visited,who,nsubj,"harry was glad school was over , but there was no escaping dudley 's gang , who visited the house every single day ."
203,subj,liked,nobody,nsubj,"everybody knew that dudley 's gang hated that odd harry potter in his baggy old clothes and broken glasses , and nobody liked to disagree with dudley 's gang ."
